Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price
347,45,3,2018,5,1,392,15,1300,160177,3850000
303,45,3,2015,5,0,374,15,1800,80200,4700000
395,43,3,2015,5,1,392,6,1000,80000,1625000
1085,43,3,2022,5,1,353,6,1000,43000,3000000
180,45,3,2018,3,0,34,4,1800,111673,8500000
1048,45,3,2012,5,0,172,6,1000,122497,2750000
74,43,3,2015,5,0,34,6,660,65000,2550000
80,43,3,2022,5,1,353,6,660,40000,2490000
493,45,3,2021,1,0,34,14,2800,20732,15900000
504,8,3,2021,5,0,280,4,1500,130138,5000000
880,45,3,2020,5,0,334,4,1000,20174,6000000
256,18,3,2018,5,0,34,15,1800,156000,5175000
69,43,3,2021,5,0,301,11,660,13500,3400000
976,32,3,2009,5,0,392,15,1300,210000,2050000
347,45,3,2012,5,1,34,15,1300,122000,2640000
843,45,3,2008,3,0,372,15,1500,240000,2800000
225,18,3,2021,5,0,392,1,1200,32500,4300000
1028,18,3,2013,5,0,337,6,1500,200000,4700000
880,45,3,2020,5,0,334,4,1000,47000,5950000
639,18,3,2011,5,0,34,6,660,90000,2200000
669,43,3,2017,5,1,353,6,796,80000,1250000
77,43,3,2022,5,1,335,6,660,22000,2400000
484,29,3,2015,5,0,34,6,660,95000,2300000
962,24,3,2022,5,0,392,4,2000,37000,7250000
328,45,3,2021,5,0,290,14,1798,2500,10500000
548,45,3,2022,1,0,18,13,2800,9700,14125000
241,18,3,2008,5,0,234,15,1300,238000,2270000
519,27,3,2021,5,0,43,4,1490,85000,6250000
838,45,3,2013,3,0,392,6,1800,142000,4650000
663,43,3,2010,5,1,352,6,800,99000,955000
669,43,3,2017,5,1,353,6,796,60000,1320000
407,10,3,1993,5,1,307,6,660,140000,525000
399,43,3,2021,5,1,392,6,1000,63000,2950000
225,18,3,2023,5,0,34,1,1200,12500,4850000
406,43,3,2009,5,1,353,6,1000,1,1250000
493,45,3,2019,1,0,77,14,2800,92000,12900000
730,18,3,2023,5,0,260,6,660,15000,4150000
938,45,3,2018,3,0,304,19,1500,28000,5550000
155,30,3,2006,5,0,260,15,3500,98000,10500000
105,2,3,2022,5,0,266,14,2000,26000,8550000
1103,36,3,2022,5,0,197,14,1500,56000,5900000
257,18,3,2013,5,0,34,15,1800,125000,3450000
808,45,3,2020,5,0,398,14,2700,32000,29000000
549,45,3,2022,1,0,372,5,2800,23000,13400000
962,24,3,2022,5,0,392,4,2000,22000,7350000
227,18,3,2018,5,1,34,15,1300,90000,3450000
493,45,3,2021,1,0,18,14,2800,49000,15700000
399,43,3,2021,5,1,392,6,1000,63000,2950000
225,18,3,2023,5,0,34,1,1200,12500,4850000
406,43,3,2009,5,1,353,6,1000,1,1250000
346,45,3,2008,5,1,392,15,1300,220,2450000
669,43,3,2018,5,1,165,6,796,45000,1310000
663,43,3,1992,5,1,352,6,800,65064,350000
395,43,3,2015,5,1,392,6,1000,80000,1625000
1085,43,3,2022,5,1,353,6,1000,43000,3000000
669,43,3,2016,5,1,335,6,796,75000,105000
561,43,3,2019,5,0,217,6,660,70000,3500000
316,45,3,2007,5,0,392,6,1500,140000,4800000
781,24,3,2021,5,0,34,6,1000,21000,3170000
227,18,3,2018,5,1,377,15,1300,84000,3650000
131,30,3,2007,5,0,132,15,1800,90000,5700000
180,45,3,2018,3,0,34,4,1800,111673,8500000
395,43,3,2013,5,1,353,6,1000,45000,1340000
1048,45,3,2012,5,0,172,6,1000,122497,2750000
267,18,3,2011,5,0,392,15,1800,147000,2650000
1085,43,3,2018,5,1,165,6,1000,70000,2400000
395,43,3,2014,5,1,353,6,1000,68000,1495000
218,10,3,2014,5,1,337,6,1000,10,2550000
74,43,3,2015,5,0,34,6,660,65000,2550000
667,43,3,2003,5,1,341,6,800,90000,500000
80,43,3,2022,5,1,353,6,660,40000,2490000
329,45,3,1990,5,1,172,15,1300,263796,1050000
304,45,3,2024,5,0,372,15,1800,22000,7600000
258,18,3,2025,5,0,377,15,1500,10,10000000
170,10,3,2023,5,0,392,6,996,2955,4600000
240,18,3,2008,5,1,234,15,1300,125936,2200000
514,17,3,2025,3,0,34,0,1500,800,12400000
1074,43,3,2014,5,0,392,6,660,76000,2450000
673,10,3,2021,5,0,337,6,660,89000,3199000
950,43,3,2021,3,0,392,17,660,12000,3075000
227,18,3,2015,5,1,34,15,1300,103000,3195000
87,45,3,2018,3,0,337,6,1500,94150,5800000
80,43,3,2024,5,1,353,6,660,31000,2755000
847,45,3,2011,3,0,8,15,1800,196553,3950000
667,43,3,2003,5,1,341,6,800,90000,500000
80,43,3,2022,5,1,353,6,660,40000,2490000
329,45,3,1990,5,1,172,15,1300,263796,1050000
347,45,3,2009,5,1,34,15,1300,110000,1950000
451,43,3,2010,5,0,336,9,660,200000,1340000
1115,45,3,2022,5,0,372,15,1500,35000,4790000
493,45,3,2021,1,0,34,14,2800,20732,15900000
504,8,3,2021,5,0,280,4,1500,130138,5000000
1071,43,3,2019,5,1,392,6,1000,96000,2225000
1085,43,3,2019,5,1,335,6,1000,76000,2550000
984,43,3,2019,5,0,392,6,1400,90000,3125000
926,29,3,2013,5,1,392,6,660,280000,1850000
1086,43,3,2020,5,1,335,6,1000,81000,2600000
880,45,3,2020,5,0,334,4,1000,20174,6000000
300,45,3,2012,5,0,367,15,1600,145000,2895000
399,43,3,2018,5,1,392,6,1000,102000,2550000
