Model Name,Manufacturer,Registered In,Model Date,Fuel Type,Transmission,Color,Body Type,Engine Displacement,Driven,Price
Corolla GLi 1.3 VVTi,Toyota,punjab,2018,Petrol,Manual,White,Sedan,1300,160177,3850000
Corolla Altis Grande CVT-i 1.8,Toyota,punjab,2015,Petrol,Automatic,Super white,Sedan,1800,80200,4700000
Cultus EURO II,Suzuki,punjab,2015,Petrol,Manual,White,Hatchback,1000,80000,1625000
Wagon R VXL,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,1000,43000,3000000
C-HR S,Toyota,punjab,2018,Hybrid,Automatic,Black,Crossover,1800,111673,8500000
Vitz F 1.0,Toyota,punjab,2012,Petrol,Automatic,Grey,Hatchback,1000,122497,2750000
Alto TURBO RS,Suzuki,punjab,2015,Petrol,Automatic,Black,Hatchback,660,65000,2550000
Alto VXR,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660,40000,2490000
Fortuner 2.8 Sigma 4,Toyota,punjab,2021,Diesel,Automatic,Black,SUV,2800,20732,15900000
Glory 580 Pro,DFSK,punjab,2021,Petrol,Automatic,Pearl White,Crossover,1500,130138,5000000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,20174,6000000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2018,Petrol,Automatic,Black,Sedan,1800,156000,5175000
Alto L Upgrade,Suzuki,punjab,2021,Petrol,Automatic,Pure White Pearl,Mini Vehicles,660,13500,3400000
Sunny EX Saloon Automatic 1.3,Nissan,punjab,2009,Petrol,Automatic,White,Sedan,1300,210000,2050000
Corolla GLi 1.3 VVTi,Toyota,punjab,2012,Petrol,Manual,Black,Sedan,1300,122000,2640000
Prius G 1.5,Toyota,punjab,2008,Hybrid,Automatic,Super White,Sedan,1500,240000,2800000
City 1.2L CVT,Honda,punjab,2021,Petrol,Automatic,White,Compact sedan,1200,32500,4300000
Vezel,Honda,punjab,2013,Petrol,Automatic,Silver,Hatchback,1500,200000,4700000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,47000,5950000
Life,Honda,punjab,2011,Petrol,Automatic,Black,Hatchback,660,90000,2200000
Mehran VXR Euro II,Suzuki,punjab,2017,Petrol,Manual,Solid White,Hatchback,796,80000,1250000
Alto VX,Suzuki,punjab,2022,Petrol,Manual,Silky Silver,Hatchback,660,22000,2400000
Flair Crossover,Mazda,punjab,2015,Petrol,Automatic,Black,Hatchback,660,95000,2300000
Sportage FWD,KIA,punjab,2022,Petrol,Automatic,White,Crossover,2000,37000,7250000
Corolla Cross Premium High Grade,Toyota,punjab,2021,Petrol,Automatic,Platinum White Pearl,SUV,1798,2500,10500000
Hilux Revo Rocco,Toyota,punjab,2022,Diesel,Automatic,Attitude Black,Pick Up,2800,9700,14125000
City i-DSI Vario,Honda,punjab,2008,Petrol,Automatic,Metallic Grey,Sedan,1300,238000,2270000
HS 1.5 Turbo,MG,punjab,2021,Petrol,Automatic,Black Pearl,Crossover,1490,85000,6250000
Prius Alpha,Toyota,punjab,2013,Hybrid,Automatic,White,Hatchback,1800,142000,4650000
Mehran VX,Suzuki,punjab,2010,Petrol,Manual,Snow White Pearl,Hatchback,800,99000,955000
Mehran VXR Euro II,Suzuki,punjab,2017,Petrol,Manual,Solid White,Hatchback,796,60000,1320000
Cuore,Daihatsu,punjab,1993,Petrol,Manual,Red,Hatchback,660,140000,525000
Cultus VXL,Suzuki,punjab,2021,Petrol,Manual,White,Hatchback,1000,63000,2950000
City 1.2L CVT,Honda,punjab,2023,Petrol,Automatic,Black,Compact sedan,1200,12500,4850000
Cultus VXRi (CNG),Suzuki,punjab,2009,Petrol,Manual,Solid White,Hatchback,1000,1,1250000
Fortuner 2.8 Sigma 4,Toyota,punjab,2019,Diesel,Automatic,Burgundy,SUV,2800,92000,12900000
N Wgn G Turbo ,Honda,punjab,2023,Petrol,Automatic,Navy,Hatchback,660,15000,4150000
Sienta X,Toyota,punjab,2018,Hybrid,Automatic,Quartz Brown Metallic,Van,1500,28000,5550000
Benz S Class S350,Mercedes Benz,punjab,2006,Petrol,Automatic,Navy,Sedan,3500,98000,10500000
BJ40 Plus Honorable Edition,BAIC,punjab,2022,Petrol,Automatic,Obsidian Black,SUV,2000,26000,8550000
X70 Premium FWD,Proton,punjab,2022,Petrol,Automatic,Jet Grey,SUV,1500,56000,5900000
Civic Oriel Prosmatec UG,Honda,punjab,2013,Petrol,Automatic,Black,Sedan,1800,125000,3450000
Prado TX L Package 2.7,Toyota,punjab,2020,Petrol,Automatic,White Pearl Crystal Shine,SUV,2700,32000,29000000
Hilux Revo V Automatic 2.8,Toyota,punjab,2022,Diesel,Automatic,Super White,Double Cabin,2800,23000,13400000
Sportage FWD,KIA,punjab,2022,Petrol,Automatic,White,Crossover,2000,22000,7350000
City 1.3 i-VTEC,Honda,punjab,2018,Petrol,Manual,Black,Sedan,1300,90000,3450000
Fortuner 2.8 Sigma 4,Toyota,punjab,2021,Diesel,Automatic,Attitude Black,SUV,2800,49000,15700000
Cultus VXL,Suzuki,punjab,2021,Petrol,Manual,White,Hatchback,1000,63000,2950000
City 1.2L CVT,Honda,punjab,2023,Petrol,Automatic,Black,Compact sedan,1200,12500,4850000
Cultus VXRi (CNG),Suzuki,punjab,2009,Petrol,Manual,Solid White,Hatchback,1000,1,1250000
Corolla GLi 1.3,Toyota,punjab,2008,Petrol,Manual,White,Sedan,1300,220,2450000
Mehran VXR Euro II,Suzuki,punjab,2018,Petrol,Manual,Graphite Grey,Hatchback,796,45000,1310000
Mehran VX,Suzuki,punjab,1992,Petrol,Manual,Snow White Pearl,Hatchback,800,65064,350000
Cultus EURO II,Suzuki,punjab,2015,Petrol,Manual,White,Hatchback,1000,80000,1625000
Wagon R VXL,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,1000,43000,3000000
Mehran VXR Euro II,Suzuki,punjab,2016,Petrol,Manual,Silky Silver,Hatchback,796,75000,105000
Hustler G Turbo,Suzuki,punjab,2019,Petrol,Automatic,Maroon Metallic,Hatchback,660,70000,3500000
Corolla Axio,Toyota,punjab,2007,Petrol,Automatic,White,Hatchback,1500,140000,4800000
Picanto 1.0 AT,KIA,punjab,2021,Petrol,Automatic,Black,Hatchback,1000,21000,3170000
City 1.3 i-VTEC,Honda,punjab,2018,Petrol,Manual,Taffeta White,Sedan,1300,84000,3650000
Benz C Class C200,Mercedes Benz,punjab,2007,Petrol,Automatic,Dolomite White Metallic,Sedan,1800,90000,5700000
C-HR S,Toyota,punjab,2018,Hybrid,Automatic,Black,Crossover,1800,111673,8500000
Cultus EURO II,Suzuki,punjab,2013,Petrol,Manual,Solid White,Hatchback,1000,45000,1340000
Vitz F 1.0,Toyota,punjab,2012,Petrol,Automatic,Grey,Hatchback,1000,122497,2750000
Civic VTi Oriel Prosmatec 1.8 i-VTEC,Honda,punjab,2011,Petrol,Automatic,White,Sedan,1800,147000,2650000
Wagon R VXL,Suzuki,punjab,2018,Petrol,Manual,Graphite Grey,Hatchback,1000,70000,2400000
Cultus EURO II,Suzuki,punjab,2014,Petrol,Manual,Solid White,Hatchback,1000,68000,1495000
Charade CX,Daihatsu,punjab,2014,Petrol,Manual,Silver,Hatchback,1000,10,2550000
Alto TURBO RS,Suzuki,punjab,2015,Petrol,Automatic,Black,Hatchback,660,65000,2550000
Mehran VXR,Suzuki,punjab,2003,Petrol,Manual,Silver Metallic,Hatchback,800,90000,500000
Alto VXR,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660,40000,2490000
Corolla DX,Toyota,punjab,1990,Petrol,Manual,Grey,Sedan,1300,263796,1050000
Corolla Altis Grande X CVT-i 1.8 Beige Interior,Toyota,punjab,2024,Petrol,Automatic,Super White,Sedan,1800,22000,7600000
Civic RS,Honda,punjab,2025,Petrol,Automatic,Taffeta White,Sedan,1500,10,10000000
Boon Style,Daihatsu,punjab,2023,Petrol,Automatic,White,Hatchback,996,2955,4600000
City i-DSI,Honda,punjab,2008,Petrol,Manual,Metallic Grey,Sedan,1300,125936,2200000
H6 HEV,Haval,punjab,2025,Hybrid,Automatic,Black,Compact SUV,1500,800,12400000
Wagon R FX,Suzuki,punjab,2014,Petrol,Automatic,White,Hatchback,660,76000,2450000
Mira B SA III,Daihatsu,punjab,2021,Petrol,Automatic,Silver,Hatchback,660,89000,3199000
Spacia X,Suzuki,punjab,2021,Hybrid,Automatic,White,Station Wagon,660,12000,3075000
City 1.3 i-VTEC,Honda,punjab,2015,Petrol,Manual,Black,Sedan,1300,103000,3195000
Aqua G,Toyota,punjab,2018,Hybrid,Automatic,Silver,Hatchback,1500,94150,5800000
Alto VXR,Suzuki,punjab,2024,Petrol,Manual,Solid White,Hatchback,660,31000,2755000
Prius G Touring Selection 1.8,Toyota,punjab,2011,Hybrid,Automatic,Aqua Blue Metallic,Sedan,1800,196553,3950000
Mehran VXR,Suzuki,punjab,2003,Petrol,Manual,Silver Metallic,Hatchback,800,90000,500000
Alto VXR,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660,40000,2490000
Corolla DX,Toyota,punjab,1990,Petrol,Manual,Grey,Sedan,1300,263796,1050000
Corolla GLi 1.3 VVTi,Toyota,punjab,2009,Petrol,Manual,Black,Sedan,1300,110000,1950000
Every Join,Suzuki,punjab,2010,Petrol,Automatic,Silky Silver Metallic,Micro Van,660,200000,1340000
Yaris Sedan ATIV X CVT 1.5,Toyota,punjab,2022,Petrol,Automatic,Super White,Sedan,1500,35000,4790000
Fortuner 2.8 Sigma 4,Toyota,punjab,2021,Diesel,Automatic,Black,SUV,2800,20732,15900000
Glory 580 Pro,DFSK,punjab,2021,Petrol,Automatic,Pearl White,Crossover,1500,130138,5000000
Wagon R,Suzuki,punjab,2019,Petrol,Manual,White,Hatchback,1000,96000,2225000
Wagon R VXL,Suzuki,punjab,2019,Petrol,Manual,Silky Silver,Hatchback,1000,76000,2550000
Swift,Suzuki,punjab,2019,Petrol,Automatic,White,Hatchback,1400,90000,3125000
Scrum Van,Mazda,punjab,2013,Petrol,Manual,White,Hatchback,660,280000,1850000
Wagon R VXR,Suzuki,punjab,2020,Petrol,Manual,Silky Silver,Hatchback,1000,81000,2600000
Raize Z,Toyota,punjab,2020,Petrol,Automatic,Shining White Pearl,Crossover,1000,20174,6000000
Corolla Altis Cruisetronic 1.6,Toyota,punjab,2012,Petrol,Automatic,Strong Blue Metallic,Sedan,1600,145000,2895000
Cultus VXL,Suzuki,punjab,2018,Petrol,Manual,White,Hatchback,1000,102000,2550000
Corolla Cross 1.8 HEV X,Toyota,punjab,2024,Hybrid,Automatic,Attitude Black Mica,SUV,1800,22236,9200000
Alto VXR Upgraded,Suzuki,punjab,2022,Petrol,Manual,Solid White,Hatchback,660,44000,2500000
Civic 1.8 i-VTEC CVT,Honda,punjab,2018,Petrol,Automatic,Taffeta White,Sedan,1800,130000,5100000
Wagon R VXL,Suzuki,punjab,2015,Petrol,Manual,Graphite Grey,Hatchback,1000,1,1830000
Hilux Revo V Automatic 3.0 ,Toyota,punjab,2017,Diesel,Automatic,Black,Double Cabin,3000,87000,9050000
Prado TX 2.7,Toyota,punjab,2018,Petrol,Automatic,Super White,SUV,2700,71000,26500000
Civic Oriel 1.8 i-VTEC CVT,Honda,punjab,2018,Petrol,Automatic,Black,Sedan,1800,156000,5175000
Fortuner 2.8 Sigma 4,Toyota,punjab,2019,Diesel,Automatic,Burgundy,SUV,2800,92000,12900000
Corolla Altis Automatic 1.6,Toyota,punjab,2017,Petrol,Automatic,Attitude Black,Sedan,1600,68000,4590000
Corolla Altis Cruisetronic 1.8,Toyota,punjab,2009,Petrol,Automatic,Bronze,Sedan,1800,150000,3450000
Bolan VX Euro II,Suzuki,punjab,2019,Petrol,Manual,Solid White,Van,800,45000,1625000
Prius G 1.8,Toyota,punjab,2011,Hybrid,Automatic,Black,Sedan,1800,105000,3775000
Prado TZ 3.0D,Toyota,punjab,2006,Diesel,Automatic,White Pearl Crystal Shine,SUV,3000,151000,8100000
Sportage FWD,KIA,punjab,2024,Petrol,Automatic,Black,Crossover,2000,24500,8075000
Hiace TRH 224,Toyota,punjab,2012,Petrol,Automatic,Blue,High Roof,2700,300000,6800000
H6 1.5T,Haval,punjab,2023,Petrol,Automatic,Polar White,Compact SUV,1500,43000,8800000
Note e-Power S,Nissan,punjab,2021,Hybrid,Automatic,Silver,Hatchback,1200,12000,5740000
Corolla Cross 1.8 HEV X,Toyota,punjab,2024,Hybrid,Automatic,Platinum White Pearl,SUV,1800,6000,9250000
Santa Fe Signature,Hyundai,punjab,2024,Hybrid,Automatic,Diamond Metallic Black,SUV,1600,21679,13400000
Fortuner Legender ,Toyota,punjab,2022,Diesel,Automatic,Super White,SUV,2800,59000,17100000
Alsvin Black Edition,Changan,punjab,2025,Petrol,Automatic,Stellar White,Sedan,1500,2550,4950000
N Wgn G Turbo ,Honda,punjab,2023,Petrol,Automatic,Navy,Hatchback,660,15000,4150000
Sienta X,Toyota,punjab,2018,Hybrid,Automatic,Quartz Brown Metallic,Van,1500,28000,5550000
Pajero Exceed Automatic 2.8D,Mitsubishi,punjab,1996,Diesel,Automatic,Silver,SUV,2800,155800,3550000
Excel Basegrade,Hyundai,punjab,1992,Petrol,Manual,White,Sedan,1500,240000,225000
Prius Alpha S Touring,Toyota,punjab,2012,Hybrid,Automatic,Super White,MPV,1800,152000,6000000
